Bill Number,Roll Call Number,Year,Congress Number,Republican Yes,Republican No,Democratic Yes,Democratic No,Other Yes,Other No,Republican Support,Democratic Support,Bill Title
H R 3771,398,2022,117,18,192,219,0,0,0,little,strong,South Asian Heart Health Awareness and Research Act of 2022
H R 4040,400,2022,117,198,11,218,1,0,0,strong,strong,Advancing Telehealth Beyond COVID–19 Act of 2021
H R 4346,404,2022,117,24,187,219,0,0,0,little,strong,Chips and Science Act
H R 1808,410,2022,117,2,208,215,5,0,0,little,strong,Assault Weapons Ban of 2022
H R 5118,414,2022,117,1,198,217,1,0,0,little,strong,Continental Divide Trail Completion Act
H R 263,415,2022,117,63,134,215,0,0,0,little,strong,Big Cat Public Safety Act
H R 7283,416,2022,117,180,9,211,0,0,0,strong,strong,STREAM Act
S 3451,417,2022,117,182,0,121,89,0,0,strong,moderate,"A bill to include certain computer-related projects in the Federal permitting program under title XLI of the FAST Act, and for other purposes."
H R 5376,420,2022,117,0,207,220,0,0,0,none,strong,Inflation Reduction Act of 2022
S 4785,421,2022,117,204,0,211,0,0,0,strong,strong,A bill to extend by 19 days the authorization for the special assessment for the Domestic Trafficking Victims' Fund.
H R 5315,422,2022,117,92,110,216,0,0,0,moderate,strong,Drone Infrastructure Inspection Grant Act
H R 884,427,2022,117,75,133,218,0,0,0,moderate,strong,National Aviation Preparedness Plan Act of 2022
H R 5774,428,2022,117,190,17,216,3,0,0,strong,strong,Expediting Disaster Recovery Act
S 2293,429,2022,117,168,38,219,0,0,0,strong,strong,CREW Act
S 442,430,2022,117,130,78,217,0,0,0,moderate,strong,BRIGHT Act
H R 302,432,2022,117,6,204,219,0,0,0,little,strong,PPSA Act of 2021
H R 8326,435,2022,117,0,208,220,0,0,0,none,strong,Ensuring a Fair and Accurate Census Act
H R 2988,437,2022,117,2,203,219,0,0,0,little,strong,Whistleblower Protection Improvement Act of 2021
S 3895,438,2022,117,195,4,207,0,0,0,strong,strong,United States Commission on International Religious Freedom Reauthorization Act of 2022
S 3157,439,2022,117,153,52,210,0,0,0,strong,strong,Bridging the Gap for New Americans Act
H R 1456,440,2022,117,79,125,211,0,0,0,moderate,strong,Peace Corps Reauthorization Act of 2022
S 2490,444,2022,117,197,12,217,0,0,0,strong,strong,Blackwell School National Historic Site Act
S 1098,448,2022,117,14,193,218,0,0,0,little,strong,Joint Consolidation Loan Separation Act
H R 8873,449,2022,117,9,203,220,0,0,0,little,strong,Presidential Election Reform Act
H R 6448,451,2022,117,153,55,207,9,0,0,strong,strong,Invest to Protect Act of 2022
H R 8542,452,2022,117,3,206,220,0,0,0,little,strong,Mental Health Justice Act of 2022
H R 4118,453,2022,117,1,207,219,0,0,0,little,strong,Break the Cycle of Violence Act
H R 5768,454,2022,117,30,178,220,0,0,0,little,strong,VICTIM Act of 2022
H R 3482,457,2022,117,153,56,216,0,0,0,strong,strong,National Center for the Advancement of Aviation Act of 2022
H R 7780,459,2022,117,1,205,219,0,0,0,little,strong,Mental Health Matters Act
H R 3843,460,2022,117,39,168,203,16,0,0,little,strong,Merger Filing Fee Modernization Act of 2022
S 4900,461,2022,117,196,9,219,0,0,0,strong,strong,SBIR and STTR Extension Act of 2022
H R 8466,462,2022,117,132,73,219,0,0,0,moderate,strong,Chai Suthammanont Remembrance Act of 2022
S 3470,463,2022,117,207,0,216,0,0,0,strong,strong,End Human Trafficking in Government Contracts Act of 2022
S 2551,464,2022,117,177,29,216,0,0,0,strong,strong,AI Training Act
S 958,465,2022,117,197,7,217,0,0,0,strong,strong,Maximizing Outcomes through Better Investments in Lifesaving Equipment for (MOBILE) Health Care Act
H R 6965,466,2022,117,110,93,215,0,0,0,moderate,strong,Visit America Act
H R 7321,467,2022,117,156,52,218,0,0,0,strong,strong,Global Aircraft Maintenance Safety Improvement Act
S 3662,468,2022,117,165,42,216,0,0,0,strong,strong,Preventing PFAS Runoff at Airports Act
H R 8888,469,2022,117,158,49,218,0,0,0,strong,strong,Food Security for All Veterans Act
S 2794,470,2022,117,207,0,218,0,0,0,strong,strong,Supporting Families of the Fallen Act
H R 8446,471,2022,117,113,95,218,0,0,0,moderate,strong,Global Food Security Reauthorization Act of 2022
H R 8463,472,2022,117,120,87,214,0,0,0,moderate,strong,Millennium Challenge Corporation Eligibility Expansion Act
H R 6833,476,2022,117,10,201,220,0,0,0,little,strong,"Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023"
H R 8987,477,2022,117,181,30,219,1,0,0,strong,strong,Fairness for 9/11 Families Act
H R 5441,478,2022,117,91,111,213,0,0,0,moderate,strong,PAST Act of 2021
S 4524,480,2022,117,100,109,215,0,0,0,moderate,strong,Speak Out Act
S 3369,482,2022,117,142,62,217,0,0,0,strong,strong,Max Cleland VA Medical Center Act
S 4359,483,2022,117,201,2,217,0,0,0,strong,strong,Senator Johnny Isakson VA Regional Office Act of 2022
S 3846,487,2022,117,176,22,213,0,0,0,strong,strong,Justice and Mental Health Collaboration Reauthorization Act of 2022
H R 5455,488,2022,117,95,101,212,0,0,0,moderate,strong,Terry Technical Correction Act
H R 3372,492,2022,117,41,167,218,0,0,0,little,strong,One Stop Shop Community Reentry Program Act of 2021
H R 6878,493,2022,117,113,90,211,0,0,0,moderate,strong,Pregnant Women in Custody Act
S 231,498,2022,117,186,22,214,0,0,0,strong,strong,PFAS Act
S 3115,499,2022,117,193,14,213,0,0,0,strong,strong,POWER 2.0 Act
H R 8876,500,2022,117,174,26,216,0,0,0,strong,strong,Jackie Walorski Maternal and Child Home Visiting Reauthorization Act of 2022
H R 7946,503,2022,117,3,208,217,0,0,0,little,strong,Veteran Service Recognition Act of 2022
S 4052,505,2022,117,191,17,217,0,0,0,strong,strong,Early Hearing Detection and Intervention Act of 2022
H R 3462,506,2022,117,208,0,209,0,0,0,strong,strong,SBA Cyber Awareness Act
S 3875,507,2022,117,118,92,215,0,0,0,moderate,strong,Community Disaster Resilience Zones Act of 2022
S 3499,508,2022,117,209,1,215,0,0,0,strong,strong,"A bill to amend the Post-Katrina Emergency Management Reform Act of 2006 to repeal certain obsolete requirements, and for other purposes."
S 2796,509,2022,117,194,11,214,0,0,0,strong,strong,Rural Opioid Abuse Prevention Act
S 4834,510,2022,117,208,1,213,0,0,0,strong,strong,PROTECT Our Children Act of 2022
H R 5796,511,2022,117,180,24,216,0,0,0,strong,strong,Patents for Humanity Act of 2022
H R 8404,514,2022,117,27,164,197,0,0,0,little,strong,Respect for Marriage Act
S 1617,517,2022,117,197,8,209,0,0,0,strong,strong,Disaster Assistance for Rural Communities Act
S 1466,518,2022,117,149,56,207,0,0,0,strong,strong,Saline Lake Ecosystems in the Great Basin States Program Act of 2022
H R 7535,519,2022,117,204,3,216,0,0,0,strong,strong,Quantum Computing Cybersecurity Preparedness Act
H R 1437,523,2022,117,9,201,215,0,0,0,little,strong,"Making further continuing appropriations for the fiscal year ending September 30, 2023, and for other purposes."
S 3905,524,2022,117,3,205,216,0,0,0,little,strong,Preventing Organizational Conflicts of Interest in Federal Acquisition Act
S 4003,525,2022,117,50,159,214,3,0,0,little,strong,Law Enforcement De-Escalation Training Act of 2022
S 5230,526,2022,117,205,4,217,0,0,0,strong,strong,Billy's Law
H R 8393,529,2022,117,16,191,217,0,0,0,little,strong,Puerto Rico Status Act
H R 1948,530,2022,117,4,201,215,0,0,0,little,strong,VA Employee Fairness Act of 2021
S 2333,532,2022,117,134,59,216,0,0,0,moderate,strong,Equal Pay for Team USA Act of 2022
S 5168,533,2022,117,179,19,215,0,0,0,strong,strong,Energy Security and Lightering Independence Act of 2022
S 4926,534,2022,117,170,28,215,0,0,0,strong,strong,Respect for Child Survivors Act
S 2834,535,2022,117,178,19,215,0,0,0,strong,strong,Dr. Joanne Smith Memorial Rehabilitation Innovation Centers Act of 2022
H R 1917,536,2022,117,178,19,215,0,0,0,strong,strong,Hazard Eligibility and Local Projects Act
S 3168,537,2022,117,163,33,215,0,0,0,strong,strong,"A bill to amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to modify the enforceability date for certain provisions, and for other purposes."
S 3308,538,2022,117,185,11,212,1,0,0,strong,strong,Colorado River Indian Tribes Water Resiliency Act of 2022
H R 9640,539,2022,117,5,201,217,0,0,0,little,strong,Presidential Tax Filings and Audit Transparency Act of 2022
S 1942,540,2022,117,109,95,217,0,0,0,moderate,strong,National Heritage Area Act
S 3773,541,2022,117,161,42,216,0,0,0,strong,strong,A bill to authorize leases of up to 99 years for land held in trust for the Confederated Tribes of the Chehalis Reservation.
S 4104,542,2022,117,148,53,212,2,0,0,strong,strong,Hualapai Tribe Water Rights Settlement Act of 2022
S 5087,543,2022,117,158,44,216,0,0,0,strong,strong,"A bill to amend the Not Invisible Act of 2019 to extend, and provide additional support for, the activities of the Department of the Interior and the Department of Justice Joint Commission on Reducing Violent Crime Against Indians, and for other purposes."
S 989,544,2022,117,129,71,213,0,0,0,moderate,strong,Native American Language Resource Center Act of 2022
S 1402,545,2022,117,122,79,215,0,0,0,moderate,strong,Durbin Feeling Native American Languages Act of 2022
H R 7939,546,2022,117,167,35,213,0,0,0,strong,strong,Veterans Auto and Education Improvement Act of 2022
H R 2617,549,2022,117,9,200,216,1,0,0,little,strong,"Making consolidated appropriations for the fiscal year ending September 30, 2023, and for providing emergency assistance for the situation in Ukraine, and for other purposes."
H R 26,29,2023,118,219,0,1,210,0,0,strong,little,Born-Alive Abortion Survivors Protection Act
H R 159,32,2023,118,217,2,205,0,0,0,strong,strong,Chance to Compete Act of 2023
H R 300,33,2023,118,220,0,205,0,0,0,strong,strong,Settlement Agreement Information Database Act of 2023
H R 346,34,2023,118,217,4,207,0,0,0,strong,strong,NOTAM Improvement Act of 2023
H R 400,35,2023,118,206,13,205,0,0,0,strong,strong,Investing in Main Street Act of 2023
H R 21,93,2023,118,220,0,1,205,0,0,strong,little,Strategic Production Response Act
H R 500,94,2023,118,215,0,204,0,0,0,strong,strong,Financial Exploitation Prevention Act of 2023
H R 382,100,2023,118,220,0,0,210,0,0,strong,none,Pandemic is Over Act
H R 139,103,2023,118,218,1,3,205,0,0,strong,little,SHOW UP Act of 2023
H R 1226,132,2023,118,219,0,203,0,0,0,strong,strong,Wounded Warrior Access Act
H R 1123,133,2023,118,191,22,202,0,0,0,strong,strong,Understanding Cybersecurity of Mobile Networks Act
H R 753,137,2023,118,219,0,207,0,0,0,strong,strong,VA COST SAVINGS Enhancements Act
H R 140,141,2023,118,219,0,0,206,0,0,strong,none,Protecting Speech from Government Interference Act
S 619,143,2023,118,215,0,204,0,0,0,strong,strong,COVID-19 Origin Act of 2023
H R 1093,144,2023,118,209,0,184,4,0,0,strong,strong,"To direct the Secretary of State to submit to Congress a report on implementation of the advanced capabilities pillar of the trilateral security partnership between Australia, the United Kingdom, and the United States."
H R 406,148,2023,118,184,33,204,0,0,0,strong,strong,Providing Appropriate Recognition and Treatment Needed to Enhance Relations with ASEAN Act
H R 1149,189,2023,118,211,4,199,4,0,0,strong,strong,Countering Untrusted Telecommunications Abroad Act
H R 734,192,2023,118,219,0,0,203,0,0,strong,none,Protection of Women and Girls in Sports Act of 2023
H R 1353,197,2023,118,214,1,208,0,0,0,strong,strong,"Advanced, Local Emergency Response Telecommunications Parity Act"
H R 2811,199,2023,118,217,4,0,211,0,0,strong,none,"Limit, Save, Grow Act of 2023"
H R 676,203,2023,118,152,58,199,0,0,0,strong,strong,Coastal Communities Ocean Acidification Act of 2023
H R 1715,204,2023,118,158,50,198,0,0,0,strong,strong,Advanced Weather Model Computing Development Act
H R 1163,211,2023,118,220,0,10,200,0,0,strong,little,Protecting Taxpayers and Victims of Unemployment Fraud Act
H R 3089,213,2023,118,212,0,200,0,0,0,strong,strong,NDO Fairness Act
H R 3091,222,2023,118,219,0,13,198,0,0,strong,little,Federal Law Enforcement Officer Service Weapon Purchase Act
H R 2494,225,2023,118,219,0,36,175,0,0,strong,little,POLICE Act of 2023
H R 1076,228,2023,118,208,2,194,0,0,0,strong,strong,Preventing the Financing of Illegal Synthetic Drugs Act
H R 1156,229,2023,118,205,5,195,0,0,0,strong,strong,China Financial Threat Mitigation Act of 2023
H R 1669,235,2023,118,207,8,202,1,0,0,strong,strong,VET–TEC Authorization Act of 2023
H R 2796,240,2023,118,131,67,178,0,0,0,moderate,strong,Promoting Opportunities for Non-Traditional Capital Formation Act
H R 3746,243,2023,118,149,71,165,46,0,0,strong,strong,Fiscal Responsibility Act of 2023
H R 2797,244,2023,118,206,0,177,18,0,0,strong,strong,Equal Opportunity for All Investors Act of 2023
H R 2793,245,2023,118,199,0,185,13,0,0,strong,strong,Encouraging Public Offerings Act of 2023
H R 2812,246,2023,118,193,10,197,0,0,0,strong,strong,Middle Market IPO Underwriting Cost Act
H R 3099,251,2023,118,214,2,199,11,0,0,strong,strong,Special Envoy for the Abraham Accords Act
H R 277,265,2023,118,220,0,1,210,0,0,strong,little,REINS Act of 2023
H R 1640,268,2023,118,220,0,29,181,0,0,strong,little,Save Our Gas Stoves Act
H R 288,271,2023,118,219,1,1,210,0,0,strong,little,SOPRA
H R 1606,272,2023,118,210,0,197,0,0,0,strong,strong,Veteran Entrepreneurship Training Act of 2023
H R 3799,282,2023,118,220,0,0,209,0,0,strong,none,CHOICE Arrangement Act
H R 3564,289,2023,118,216,0,14,189,0,0,strong,little,Middle Class Borrower Protection Act of 2023
H R 1548,290,2023,118,199,11,199,0,0,0,strong,strong,Improving Access to Small Business Information Act
H R 1096,291,2023,118,207,1,202,0,0,0,strong,strong,250th Anniversary of the United States Marine Corps Commemorative Coin Act
S 111,329,2023,118,207,0,193,0,0,0,strong,strong,Providing Accountability Through Transparency Act of 2023
H R 813,330,2023,118,191,22,195,0,0,0,strong,strong,Global Investment in American Jobs Act of 2023
H R 3941,340,2023,118,218,0,4,201,0,0,strong,little,Schools Not Shelters Act
H R 3935,364,2023,118,187,31,164,38,0,0,strong,strong,Securing Growth and Robust Leadership in American Aviation Act
H R 4470,366,2023,118,212,1,197,0,0,0,strong,strong,Protecting and Securing Chemical Facilities from Terrorist Attacks Act of 2023
H R 4366,380,2023,118,219,2,0,209,0,0,strong,none,"Consolidated Appropriations Act, 2024"
H R 3152,383,2023,118,210,1,193,7,0,0,strong,strong,Fight CRIME Act
H R 589,384,2023,118,209,1,201,2,0,0,strong,strong,MAHSA Act
H R 1567,386,2023,118,206,4,200,0,0,0,strong,strong,ACRES Act
H R 3324,387,2023,118,211,0,204,0,0,0,strong,strong,To extend the authority to collect Shasta-Trinity Marina fees through fiscal year 2029.
H R 1435,391,2023,118,214,0,8,190,0,0,strong,little,Preserving Choice in Vehicle Purchases Act
H R 3981,392,2023,118,208,0,202,0,0,0,strong,strong,Isakson-Roe Education Oversight Expansion Act
S 475,393,2023,118,209,0,200,0,0,0,strong,strong,"A bill to designate the clinic of the Department of Veterans Affairs in Gallup, New Mexico, as the Hiroshi ""Hershey"" Miyamura VA Clinic."
H R 663,394,2023,118,177,32,201,0,0,0,strong,strong,Native American Child Protection Act
S 112,399,2023,118,214,0,208,0,0,0,strong,strong,"A bill to amend title 38, United States Code, to strengthen benefits for children of Vietnam veterans born with spina bifida, and for other purposes."
H R 1530,401,2023,118,214,0,209,0,0,0,strong,strong,Veterans Benefits Improvement Act of 2023
H R 4665,500,2023,118,216,2,0,210,0,0,strong,none,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2024"
H R 5692,503,2023,118,101,117,210,0,0,0,moderate,strong,"Ukraine Security Assistance and Oversight Supplemental Appropriations Act, 2024"
H R 4367,505,2023,118,218,0,2,208,0,0,strong,little,"Department of Homeland Security Appropriations Act, 2024"
H R 4368,507,2023,118,191,27,0,210,0,0,strong,none,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2024"
H R 5525,511,2023,118,198,21,0,211,0,0,strong,none,"Continuing Appropriations and Border Security Enhancement Act, 2024"
H R 5860,513,2023,118,126,90,209,1,0,0,moderate,strong,"Continuing Appropriations Act, 2024 and Other Extensions Act"
H R 2379,514,2023,118,198,0,192,0,0,0,strong,strong,"To designate the facility of the United States Postal Service located at 616 East Main Street in St. Charles, Illinois, as the ""Veterans of the Vietnam War Memorial Post Office""."
